,French,English
0,histoire,history
1,chercher,search
2,seulement,only
3,police,police
4,aide,help
5,demande,request
6,genre,kind
7,mois,month
8,frère,brother
9,car,because
10,mettre,to put
11,aucun,no
12,eux,them
13,ville,city
14,chaque,each
15,parlé,speak
16,arrivé,come
17,devrait,should
18,bébé,baby
19,longtemps,long time
20,heures,hours
21,vont,will
22,pendant,while
23,revoir,meet again
24,aucune,any
25,place,square
26,parle,speak
27,compris,understood
28,savais,knew
29,étaient,were
30,voici,here is
31,affaire,case
32,donner,give
33,type,type
34,leurs,their
35,donné,given
36,corps,body
37,endroit,place
38,yeux,eyes
39,façon,way
40,écoute,listen
41,dont,whose
42,premier,first
43,perdu,lost
44,main,hand
45,première,first
46,côté,side
47,pouvoir,power
48,vieux,old
49,sois,be
50,tiens,here
51,matin,morning
52,tellement,so much
53,enfant,child
54,point,point
55,venu,came
56,suite,after
57,venez,come
58,devant,in front of
59,vers,towards
60,minutes,minutes
61,chambre,bedroom
62,mis,placed
63,belle,beautiful
64,droit,law
65,aimerais,would like to
66,aujourd'hui,today
67,mari,husband
68,enfin,finally
69,espère,hope
70,eau,water
71,nouvelle,new
72,boulot,job
73,dirait,would say
74,terre,Earth
75,compte,account
76,loin,far
77,fin,end
78,chérie,sweetheart
79,gros,large
80,plutôt,rather
81,filles,girls
82,jouer,to play
83,bureau,office
